name;short_name;img
JavaScript;js;
HTML;html;
CSS;css;
iOS;ios;
Android;android;
php;php;
Ruby;ruby;
Java;java;
Objective-C;objective-c;
Vim;vi;
Python;python;
Git;git;
ShellScript;shell;
C++;cpp;
JQuery;jquery;
Github;github;
C;c;
Linux;linux;
CoffeeScript;cs;
Mac;mac;
MySql;mysql;
Emacs;emac;
Node.js;nodejs;
Rails;rails;
Chrome;chrome;
Pear;pear;
Regular expression;regex;
Apache;apache;
CentOS;centos;
C#;csharp;
SSH;ssh;
nginx;nginx;
Ubuntu;ubuntu;
MongoDB;mongodb;
Swift;swift;
Agile;agile;
Scheme;scheme;
Heroku;heroku;
Windows;win;
Unity;unity;
.NET;net;
Sql;sql;
NoSql;no-sql;