short_name;name
javascript;JavaScript
html;HTML
css;CSS
ios;ios
android;Android
windowsphone;Windows Phone
php;Php
ruby;Ruby
java;Java
objectivec;Objective-C
vim;Vim
python;Python
git;Git
shellscript;ShellScript
c++;C++
jquery;JQuery
github;Github
c;C
linux;Linux
coffeescript;CoffeeScript
mac;Mac
mysql;MySql
emacs;Emacs
nodejs;NodeJS
rails;Rails
chomre;Chrome
pear;Pear
regularexpression;Regular Expression
apache;Apache
centos;CentOS
c#;C#
nignx;NGINX
ubuntu;Ubuntu
mongodb;MongoDB
swift;Swift
agile;Agile
windows;Windows
unity;Unity
net;.NET
sql;Sql
nosql;NoSql
design;Design
photoshop;Photoshop
network;Network
actionscript;ActionScript
laravel;Laravel
cakephp;CakePHP
drupal;Drupal
joomla;Joomla
opencart;OpenCart
reactjs;ReactJS
wordpress;WordPress
angularjs;AngularJS
html5;HTML5
perl;Perl
qa;QA